year,level_variation,standard_deviation
1993.0145264000002,-13.74,89.23
1993.0416260000002,-17.37,91.48
1993.0688477,-17.38,88.61
1993.0959473,-19.5,91.93
1993.1231688999999,-14.15,90.05
1993.1502686000001,-12.44,89.02
1993.1774902,-12.12,87.32
1993.2045898,-10.86,87.73
1993.2318114999998,-11.05,87.16
1993.2590332000002,-18.8,97.79
1993.2861327999997,-12.8,85.14
1993.3133545000003,-9.24,84.81
1993.3404540999998,-11.58,84.16
1993.3676758000001,-14.4,83.58
1993.3947754,-15.35,83.69
1993.4219971,-15.26,84.09
1993.4490967,-12.33,84.11
1993.4763184,-12.33,82.82
1993.503418,-12.86,81.38
1993.5306395999999,-14.33,83.08
1993.5578612999998,-10.2,90.28
1993.5849609000002,-12.91,85.47
1993.6121825999999,-12.6,86.09
1993.6392822,-8.67,86.88
1993.6665039000002,-7.37,86.54
1993.6936035,-8.88,83.82
1993.7208252,-10.0,84.24
1993.7479248,-6.04,84.28
1993.7751465,-2.5,85.62
1993.8022460999998,-4.94,83.47
1993.8294678,-8.97,92.42
1993.8566895,-7.14,83.29
1993.8837890999998,-8.75,83.36
1993.9110107000001,-10.36,82.75
1993.9381104000001,-8.98,82.52
1993.965332,-3.77,83.84
1993.9924316,-6.88,83.69
1994.0196533,-10.42,82.47
1994.0467529,-8.48,81.74
1994.0739746,-6.58,81.85
1994.1010741999999,-12.29,81.36
1994.1282959000002,-15.56,81.62
1994.1555176,-14.47,83.23
1994.1826172000003,-10.32,84.83
1994.2098389000002,-14.68,90.67
1994.2369385000002,-5.41,83.34
1994.2641602,-9.26,82.53
1994.2912598,-9.61,82.87
1994.3184813999999,-11.11,82.32
1994.3455811000001,-12.92,81.46
1994.3728027,-14.63,82.4
1994.3999023,-17.13,83.46
1994.4271239999998,-14.9,81.03
1994.4543457000002,-11.94,81.64
1994.4814452999997,-20.42,88.12
1994.5086670000003,-16.59,80.81
1994.5357665999998,-12.46,81.4
1994.5629883000001,-11.85,84.97
1994.5900879,-11.89,86.34
1994.6173096,-12.12,86.93
1994.6444092,-9.91,87.68
1994.6716309,-9.29,89.36
1994.6987305,-5.74,91.02
1994.7259520999999,-6.84,92.79
1994.7530517999999,-7.54,90.08
1994.7802734000002,-5.68,90.0
1994.8074950999999,-3.73,90.3
1994.8345947,-5.17,92.23
1994.8618164000002,0.88,100.26
1994.888916,-8.14,93.89
1994.9161377,-11.2,90.49
1994.9432373,-7.79,88.63
1994.970459,-5.88,89.78
1994.9975585999998,-5.32,92.31
1995.0247803,-5.66,92.99
1995.0518799000001,-7.91,88.07
1995.0791015999998,-5.16,90.84
1995.1063232000001,-10.12,87.59
1995.1334229000001,-14.52,86.91
1995.1606445,-9.86,87.3
1995.1877441,-8.55,96.65
1995.2149658,-4.65,89.8
1995.2420654,-11.05,85.79
1995.2692871,-11.9,85.04
1995.2963866999999,-11.29,85.11
1995.3236084000002,-10.74,83.19
1995.3507079999997,-17.01,89.41
1995.3779297000003,-13.5,81.84
1995.4051514000002,-11.77,79.49
1995.4322510000002,-10.06,82.44
1995.4594727,-13.1,81.47
1995.4865723,-14.7,81.52
1995.5137938999999,-9.86,87.07
1995.5408936000001,-13.07,80.48
1995.5681152,-13.23,80.35
1995.5952148,-12.63,80.0
1995.6224364999998,-9.62,82.25
1995.6495360999998,-8.77,81.28
1995.6767577999997,-5.6,80.9
1995.7039795000003,-3.97,82.54
1995.7310790999998,1.95,83.08
1995.7583008000001,-2.45,84.24
1995.7854004,-3.46,85.08
1995.8126221,-8.97,89.88
1995.8397217,-3.32,81.45
1995.8669434,-3.48,81.95
1995.894043,-1.08,82.45
1995.9212645999999,-19.89,80.27
1995.9483642999999,-5.73,82.22
1995.9755859000002,-1.7,80.92
1996.0028075999999,-8.26,81.83
1996.0297852,-11.09,82.65
1996.0568848,-13.44,82.58
1996.0839844,-13.83,83.14
1996.111084,-7.07,84.59
1996.1381835999998,-10.35,89.56
1996.1652832000002,-7.54,83.79
1996.1923827999997,-10.65,84.87
1996.2194824,-9.14,85.2
1996.246582,-9.18,86.76
1996.2736816,-10.41,84.78
1996.3007811999998,-11.69,82.59
1996.3278809,-7.86,82.29
1996.3549805,-6.93,84.36
1996.3820801,-8.5,82.76
1996.4091797000003,-7.09,82.88
1996.4361572,-8.23,81.75
1996.4632568,-7.89,86.51
1996.4903563999999,-6.04,81.08
1996.5174561000001,-6.83,80.22
1996.5445557,-5.27,81.32
1996.5716553,-1.39,82.92
1996.5987549000001,-3.65,81.04
1996.6258545000003,-4.29,81.17
1996.6529540999998,-3.47,82.78
1996.6800537000001,-5.11,83.6
1996.7071533,-1.19,84.49
1996.7342529,3.09,87.51
1996.7613525,2.08,84.19
1996.7884520999999,0.08,88.63
1996.8155517999999,5.52,85.43
1996.8426514000002,8.4,85.58
1996.8696289000002,5.19,87.88
1996.8967285,-1.7,86.06
1996.9238281,-1.08,85.3
1996.9509277,-0.3,84.39
1996.9780273,-4.67,86.86
1997.005127,-6.05,86.48
1997.0323485999998,-4.17,86.84
1997.0594482000001,-7.99,87.91
1997.0866699,-5.93,86.47
1997.1137695,-7.53,91.19
1997.1409912000001,-6.94,86.76
1997.1682129,-6.66,87.2
1997.1953125,-7.73,89.78
1997.2225342,-5.44,87.66
1997.2496337999999,-4.09,87.26
1997.2768555,-3.22,86.43
1997.3039551,-8.44,84.53
1997.3311767999999,-7.28,84.13
1997.3582764000002,-3.41,83.68
1997.385498,-6.76,85.19
1997.4125977,-1.69,87.51
1997.4398193,-3.6,95.14
1997.467041,-4.78,87.76
1997.4941406,-2.87,90.41
1997.5213623,-2.52,90.62
1997.5484619000003,3.12,92.75
1997.5756835999998,1.66,92.86
1997.6027832000002,0.66,99.58
1997.6300049000001,4.65,97.62
1997.6571045000003,7.27,101.02
1997.6843262000002,8.37,102.88
1997.7114258000001,10.29,105.95
1997.7386475,11.67,106.33
1997.7658691,18.14,113.59
1997.7929688000002,13.43,111.03
1997.8201904,10.06,110.37
1997.84729,13.06,112.5
1997.8745116999999,9.23,115.05
1997.9016112999998,6.76,112.16
1997.9288329999997,8.79,115.55
1997.9559325999999,3.6,114.38
1997.9831542999998,4.28,110.62
1998.0102539000002,0.32,107.92
1998.0374755999997,3.6,102.51
1998.0646973,0.65,106.53
1998.0917969,3.21,104.82
1998.1190186000001,3.11,101.1
1998.1461182,1.64,99.56
1998.1733398,1.4,99.31
1998.2004395,4.49,97.16
1998.2276610999998,3.41,98.67
1998.2547607000001,3.76,95.82
1998.2819824,4.81,96.5
