Year,Album details,"US","AUS","AUT","CAN","GER","NLD","NOR","NZ","SWE","SWI","UK","Certifications"
1978,"For You Released: April 7, 1978 Label: Warner Bros.",163,—,—,—,—,—,—,—,—,—,—,
1979,"Prince Released: October 19, 1979 Label: Warner Bros.",22,—,—,—,—,—,—,—,—,—,—,"UK: Silver US: Platinum"
1980,"Dirty Mind Released: October 8, 1980 Label: Warner Bros.",45,—,—,—,—,—,—,—,—,—,—,US: Gold[27]
1981,"Controversy Released: October 14, 1981 Label: Warner Bros.",21,55,—,—,—,50,—,—,—,—,—,"UK: Silver[26]
US: Platinum[27]"
1982,"1999 Released: October 27, 1982 Label: Warner Bros.",9,35,—,"23
[28]",—,45,—,6,—,—,30,"CAN: Platinum[29]
UK: Platinum[26]
US: 4× Platinum[27]"
1984,"Purple Rain Released: June 25, 1984 Label: Warner Bros.",1,1,8,"1
[30]",5,1,4,2,3,7,7,"CAN: 6× Platinum[29]
UK: 2× Platinum
US: 13× Platinum"
1985,"Around the World in a Day [A]Released: April 22, 1985 Label: Paisley Park, Warner Bros.",1,12,7,"16
[31]",10,1,10,16,1,8,5,"UK: Gold[26]
US: 2× Platinum[27]"
1986,"Parade [A]Released: March 31, 1986 Label: Paisley Park, Warner Bros.",3,8,7,"11
[32]",6,1,10,7,5,2,4,"UK: Platinum[26]
US: Platinum[27]"
1987,"Sign o' the TimesReleased: March 30, 1987 Label: Paisley Park, Warner Bros.",6,20,2,"27
[33]",11,2,3,6,6,1,4,"CAN: 4× Platinum[29]
UK: Platinum[26]
US: Platinum[27]"
1988,"LovesexyReleased: May 10, 1988 Label: Paisley Park, Warner Bros.",11,13,3,"7
[34]",4,1,2,1,1,1,1,"UK: Platinum[26]
US: Gold[27]"
1989,"BatmanReleased: June 20, 1989 Label: Warner Bros.",1,4,3,1,3,1,2,4,2,1,1,"CAN: 3× Platinum[29]
UK: Platinum[26]
US: 2× Platinum[27]"
1990,"Graffiti BridgeReleased: August 20, 1990 Label: Paisley Park, Warner Bros.",6,10,8,"22
[35]",4,4,2,3,7,2,1,"CAN: Gold[29]
UK: Gold[26]
US: Gold[27]"
1991,"Diamonds and Pearls [B]Released: October 1, 1991 Label: Paisley Park, Warner Bros.",3,1,4,"8
[36]",8,6,5,5,8,3,2,"CAN: 2× Platinum[29]
UK: 3× Platinum[26]
US: 2× Platinum[27]"
1992,"Love Symbol Album [37] [B]Released: October 13, 1992 Label: Paisley Park, Warner Bros.",5,1,1,"16
[38]",5,6,10,4,10,4,1,"UK: Platinum[26]
US: Platinum[27]"
1994,"ComeReleased: August 16, 1994 Label: Warner Bros.",15,2,4,"34
[39]",9,4,7,16,7,4,1,"UK: Gold[26]
US: Gold[27]"
,"The Black AlbumReleased: November 22, 1994 Label: Warner Bros.",47,15,7,"48
[40]",51,35,—,—,—,8,36,
1995,"The Gold ExperienceReleased: September 26, 1995 Label: NPG, Warner Bros.",6,13,28,"35
[41]",24,3,12,—,11,7,4,"UK: Gold[26]
US: Gold[27]"
1996,"Chaos and DisorderReleased: July 9, 1996 Label: Warner Bros.",26,54,17,"43
[42]",42,8,15,—,32,21,14,
,"EmancipationReleased: November 19, 1996 Label: NPG, EMI",11,8,13,"24
[43]",21,13,27,22,22,1,18,"CAN: Platinum[29]
US: 2× Platinum[27]"
1998,"Crystal Ball / The TruthReleased: March 3, 1998 Label: NPG",62,—,—,—,—,—,—,—,—,—,91,
1999,"The Vault: Old Friends 4 SaleReleased: August 24, 1999 Label: Warner Bros.",85,—,40,—,44,15,—,—,—,21,47,
,"Rave Un2 the Joy FantasticReleased: November 9, 1999 Label: NPG, Arista",18,82,44,"5
[44]",53,17,37,—,49,19,145,US: Gold[27]
2001,"The Rainbow ChildrenReleased: November 20, 2001 Label: NPG, Redline Entertainment",109,—,—,—,—,—,—,—,—,74,—,
2002,"One Nite Alone...Released: May 14, 2002 Label: NPG",—,—,—,—,—,—,—,—,—,—,—,
2003,"XpectationReleased: January 1, 2003 Label: NPG",—,—,—,—,—,—,—,—,—,—,—,
,"N.E.W.SReleased: July 29, 2003 Label: NPG, MP Media",—,—,—,—,93,83,—,—,—,—,—,
2004,"MusicologyReleased: March 29, 2004 Label: NPG, Columbia",3,19,4,11,4,3,2,25,6,2,3,"CAN: Gold[29]
UK: Gold[26]
US: 2× Platinum[27]"
,"The Chocolate InvasionReleased: March 29, 2004 Label: NPG",—,—,—,—,—,—,—,—,—,—,—,
,"The SlaughterhouseReleased: March 29, 2004 Label: NPG",—,—,—,—,—,—,—,—,—,—,—,
2006,"3121Released: March 21, 2006 Label: NPG, Universal",1,18,15,9,4,3,5,—,18,1,9,"UK: Silver[26]
US: Gold[27]"
2007,"Planet EarthReleased: July 24, 2007 Label: NPG, Columbia",3,38,11,17,7,3,9,—,35,1,—,
2009,"Lotusflow3r / MPLSound (released as a 3-CD set together with Elixer by Bria Valente)Released: March 29, 2009 Label: NPG",2,—,—,—,—,23,—,—,—,—,—,US: Gold[27]
2010,"20TenReleased: July 10, 2010 Label: NPG",—,—,—,—,—,—,—,—,—,—,—,
2014,"Plectrumelectrum [C]Released: September 30, 2014 Label: NPG, Warner Bros.",8,33,10,—,31,9,8,31,50,8,11,
,"Art Official AgeReleased: September 30, 2014 Label: NPG, Warner Bros.",5,15,8,21,18,4,2,17,9,4,8,
2015,"HITnRUN Phase OneReleased: September 7, 2015 Label: NPG",70,50,73,—,95,12,—,—,—,31,50,
,"HITnRUN Phase TwoReleased: December 12, 2015 Label: NPG",—,—,—,—,—,—,—,—,—,—,—,
